Type,Wavenumber,Absorbance,Mapped_Group
Valley,3741.90,-0.000489,N/A
Peak,3427.51,0.078673,O-H
Valley,3034.03,-0.000257,N/A
Peak,2370.51,0.037743,CO2
Valley,1735.93,0.016749,N/A
Peak,1627.92,0.043684,C=C
Valley,1282.66,0.013116,N/A
Peak,1116.78,0.103809,C-O-C
Valley,933.55,-0.016913,N/A
Peak,607.58,0.094474,None
Valley,572.86,0.025740,N/A
Peak,487.99,0.082414,None
Peak,368.40,0.035149,None
Valley,362.62,-0.041115,N/A
